,h3_05,geometry,yeeap_number_of_sites,yeeap_distance_to_nearest_site_m
163,85521927fffffff,"POLYGON ((45.04941811575378 15.950143648775857, 45.02981660789129 15.864204273908154, 45.09385272264369 15.81058371768948, 45.17742901530979 15.842804176355639, 45.19711007022161 15.928639489125477, 45.133135462541944 15.982358400247005, 45.04941811575378 15.950143648775857))",0.0,15016.829192739451
164,8552192bfffffff,"POLYGON ((44.79806104411394 15.853164219963372, 44.778620251056644 15.767134147596886, 44.84291834259825 15.713589563002737, 44.92659705087589 15.745976279263665, 44.946118307680166 15.831903074025448, 44.88188056919144 15.885546427230345, 44.79806104411394 15.853164219963372))",0.0,24600.327570863778
165,8552192ffffffff,"POLYGON ((44.946118307680166 15.831903074025448, 44.92659705087589 15.745976279263665, 44.99069410999711 15.692454335915317, 45.074251658132816 15.724760570377265, 45.09385272264369 15.81058371768948, 45.02981660789129 15.864204273908154, 44.946118307680166 15.831903074025448))",2.0,7965.165099850297
166,85521933fffffff,"POLYGON ((44.856544190762946 16.11151229128906, 44.837022963120546 16.025353678523633, 44.90140187188613 15.971589496940041, 44.985241295525356 16.003885514702826, 45.004843128078704 16.089940389186026, 44.94052511008123 16.143802980476192, 44.856544190762946 16.11151229128906))",0.0,12263.883250132629
167,85521937fffffff,"POLYGON ((45.004843128078704 16.089940389186026, 44.985241295525356 16.003885514702826, 45.04941811575378 15.950143648775857, 45.133135462541944 15.982358400247005, 45.15281723925319 16.068309166062967, 45.08870190285749 16.122149284177475, 45.004843128078704 16.089940389186026))",0.0,28866.419067695635
168,8552193bfffffff,"POLYGON ((44.753062251534416 15.992976124960244, 44.73362181265917 15.906829733395197, 44.79806104411394 15.853164219963372, 44.88188056919144 15.885546427230345, 44.90140187188613 15.971589496940041, 44.837022963120546 16.025353678523633, 44.753062251534416 15.992976124960244))",0.0,13835.355064613674
169,85521943fffffff,"POLYGON ((44.20262231029639 15.93760863979158, 44.183509941566584 15.851169270151383, 44.24861068340125 15.797540503994787, 44.33276605064712 15.830251742286324, 44.35196151160705 15.916589371092764, 44.28691869027697 15.97031750431554, 44.20262231029639 15.93760863979158))",0.0,13363.678178186852
170,85521947fffffff,"POLYGON ((44.35196151160705 15.916589371092764, 44.33276605064712 15.830251742286324, 44.39766637277579 15.776643056054901, 44.48170379422434 15.809272778095037, 44.50098168976267 15.895508273231957, 44.43613990637015 15.949216180671028, 44.35196151160705 15.916589371092764))",0.0,24791.665307640676
171,8552194bfffffff,"POLYGON ((44.09923745928251 15.818376261477642, 44.080206581106836 15.731952789190062, 44.14536466907594 15.678423632759614, 44.22949646566466 15.71121834176634, 44.24861068340125 15.797540503994787, 44.183509941566584 15.851169270151383, 44.09923745928251 15.818376261477642))",0.0,8887.80637358882
172,8552194ffffffff,"POLYGON ((44.24861068340125 15.797540503994787, 44.22949646566466 15.71121834176634, 44.29445475449637 15.657709121576335, 44.37846947086172 15.69042259924781, 44.39766637277579 15.776643056054901, 44.33276605064712 15.830251742286324, 44.24861068340125 15.797540503994787))",1.0,8466.800172577849
173,85521953fffffff,"POLYGON ((44.15648901232135 16.07791217992688, 44.137378623865466 15.991356346047251, 44.20262231029639 15.93760863979158, 44.28691869027697 15.97031750431554, 44.30611258132362 16.056771565949244, 44.24092676767287 16.110618537385008, 44.15648901232135 16.07791217992688))",1.0,3193.8999798143536
174,85521957fffffff,"POLYGON ((44.30611258132362 16.056771565949244, 44.28691869027697 15.97031750431554, 44.35196151160705 15.916589371092764, 44.43613990637015 15.949216180671028, 44.4554166398086 16.03556807397316, 44.39043231388078 16.08939532690244, 44.30611258132362 16.056771565949244))",0.0,17010.454170978974
175,8552195bfffffff,"POLYGON ((44.05296509590066 15.958565169227795, 44.03393647730717 15.872024457378698, 44.09923745928251 15.818376261477642, 44.183509941566584 15.851169270151383, 44.20262231029639 15.93760863979158, 44.137378623865466 15.991356346047251, 44.05296509590066 15.958565169227795))",6.0,3629.554433263212
176,85521963fffffff,"POLYGON ((44.5464035277113 15.755684818065546, 44.527124596731575 15.669566456279757, 44.59168277094887 15.616099035847233, 44.675460864689 15.648650805428046, 44.69482116995361 15.734666688338704, 44.63032218348892 15.788233279830314, 44.5464035277113 15.755684818065546))",0.0,16324.166642721984
177,85521967fffffff,"POLYGON ((44.69482116995361 15.734666688338704, 44.675460864689 15.648650805428046, 44.7398187444634 15.595205240674487, 44.82347731743963 15.62767653709143, 44.84291834259825 15.713589563002737, 44.778620251056644 15.767134147596886, 44.69482116995361 15.734666688338704))",0.0,16339.441699663901
178,8552196bfffffff,"POLYGON ((44.44322778492476 15.636933959024178, 44.42402956983167 15.550831404710676, 44.48864636498817 15.497463399774098, 44.57240293001607 15.53009853394451, 44.59168277094887 15.616099035847233, 44.527124596731575 15.669566456279757, 44.44322778492476 15.636933959024178))",1.0,7417.869582438627
179,8552196ffffffff,"POLYGON ((44.59168277094887 15.616099035847233, 44.57240293001607 15.53009853394451, 44.63682003361247 15.476752235589675, 44.72045792992292 15.5093071718419, 44.7398187444634 15.595205240674487, 44.675460864689 15.648650805428046, 44.59168277094887 15.616099035847233))",0.0,12469.851341167094
180,85521973fffffff,"POLYGON ((44.50098168976267 15.895508273231957, 44.48170379422434 15.809272778095037, 44.5464035277113 15.755684818065546, 44.63032218348892 15.788233279830314, 44.649681856268415 15.874366254235028, 44.58504127301945 15.928053287083621, 44.50098168976267 15.895508273231957))",0.0,25146.16712941264
181,85521977fffffff,"POLYGON ((44.649681856268415 15.874366254235028, 44.63032218348892 15.788233279830314, 44.69482116995361 15.734666688338704, 44.778620251056644 15.767134147596886, 44.79806104411394 15.853164219963372, 44.73362181265917 15.906829733395197, 44.649681856268415 15.874366254235028))",0.0,29555.676552712303
182,8552197bfffffff,"POLYGON ((44.39766637277579 15.776643056054901, 44.37846947086172 15.69042259924781, 44.44322778492476 15.636933959024178, 44.527124596731575 15.669566456279757, 44.5464035277113 15.755684818065546, 44.48170379422434 15.809272778095037, 44.39766637277579 15.776643056054901))",0.0,9639.024645452866
183,85521983fffffff,"POLYGON ((44.57163979725961 16.554569468247838, 44.5522020191202 16.46796524442338, 44.617210745715084 16.413821995405822, 44.701597243817254 16.446184730672446, 44.72111750911146 16.532685495540846, 44.6561689694287 16.586926982192963, 44.57163979725961 16.554569468247838))",0.0,18090.87797148727
184,85521987fffffff,"POLYGON ((44.72111750911146 16.532685495540846, 44.701597243817254 16.446184730672446, 44.76640262920939 16.392061649594417, 44.85066766021969 16.424341246753176, 44.87026974348697 16.510738166968338, 44.805525157918524 16.56495933156683, 44.72111750911146 16.532685495540846))",1.0,2302.320542318103
185,8552198bfffffff,"POLYGON ((44.46769487292378 16.43551909320858, 44.44833898545504 16.348925151202597, 44.513407319695546 16.294880403707275, 44.59777211344545 16.32733109578388, 44.617210745715084 16.413821995405822, 44.5522020191202 16.46796524442338, 44.46769487292378 16.43551909320858))",1.0,8537.13520894994
186,8552198ffffffff,"POLYGON ((44.617210745715084 16.413821995405822, 44.59777211344545 16.32733109578388, 44.66263772187615 16.27330636425847, 44.746881919103686 16.305674180684772, 44.76640262920939 16.392061649594417, 44.701597243817254 16.446184730672446, 44.617210745715084 16.413821995405822))",0.0,18077.366062989036
187,85521993fffffff,"POLYGON ((44.52592424891516 16.695547385384433, 44.50648745285005 16.608830607564965, 44.57163979725961 16.554569468247838, 44.6561689694287 16.586926982192963, 44.675688664314386 16.673540276871133, 44.61059646920693 16.727899539058154, 44.52592424891516 16.695547385384433))",0.0,20869.146534738768
188,85521997fffffff,"POLYGON ((44.675688664314386 16.673540276871133, 44.6561689694287 16.586926982192963, 44.72111750911146 16.532685495540846, 44.805525157918524 16.56495933156683, 44.825127079789475 16.65146875419434, 44.760239306736544 16.705808209948867, 44.675688664314386 16.673540276871133))",1.0,8950.891309534723
189,8552199bfffffff,"POLYGON ((44.421837582804116 16.576389134506694, 44.40248296141342 16.48968184327973, 44.46769487292378 16.43551909320858, 44.5522020191202 16.46796524442338, 44.57163979725961 16.554569468247838, 44.50648745285005 16.608830607564965, 44.421837582804116 16.576389134506694))",1.0,7723.014103477576
190,855219a3fffffff,"POLYGON ((44.915269558829095 16.370238996432523, 44.89566743742394 16.283955340733872, 44.96012714753028 16.22997261808472, 45.0441277250872 16.262175508419453, 45.06381059174323 16.348354974220538, 44.99941231486824 16.40243573507128, 44.915269558829095 16.370238996432523))",0.0,28564.517877522052
191,855219a7fffffff,"POLYGON ((45.06381059174323 16.348354974220538, 45.0441277250872 16.262175508419453, 45.10838428386022 16.208214770511, 45.192261860362265 16.240335613799726, 45.21202480676732 16.32641051881021, 45.14783027603005 16.380469135619894, 45.06381059174323 16.348354974220538))",0.0,41921.57321247459
192,855219abfffffff,"POLYGON ((44.811544649279675 16.251670125463022, 44.79202361878082 16.16539671010822, 44.856544190762946 16.11151229128906, 44.94052511008123 16.143802980476192, 44.96012714753028 16.22997261808472, 44.89566743742394 16.283955340733872, 44.811544649279675 16.251670125463022))",0.0,11735.759438376597
193,855219affffffff,"POLYGON ((44.96012714753028 16.22997261808472, 44.94052511008123 16.143802980476192, 45.004843128078704 16.089940389186026, 45.08870190285749 16.122149284177475, 45.10838428386022 16.208214770511, 45.0441277250872 16.262175508419453, 44.96012714753028 16.22997261808472))",0.0,27408.585749173504
194,855219b3fffffff,"POLYGON ((44.87026974348697 16.510738166968338, 44.85066766021969 16.424341246753176, 44.915269558829095 16.370238996432523, 44.99941231486824 16.40243573507128, 45.019095547399196 16.488728430774692, 44.95455505462662 16.542928608039908, 44.87026974348697 16.510738166968338))",0.0,15729.769424377382
195,855219b7fffffff,"POLYGON ((45.019095547399196 16.488728430774692, 44.99941231486824 16.40243573507128, 45.06381059174323 16.348354974220538, 45.14783027603005 16.380469135619894, 45.16759398964701 16.466657232773585, 45.10325771772623 16.520835761571927, 45.019095547399196 16.488728430774692))",0.0,32405.975089526382
196,855219bbfffffff,"POLYGON ((44.76640262920939 16.392061649594417, 44.746881919103686 16.305674180684772, 44.811544649279675 16.251670125463022, 44.89566743742394 16.283955340733872, 44.915269558829095 16.370238996432523, 44.85066766021969 16.424341246753176, 44.76640262920939 16.392061649594417))",0.0,18435.292100851046
197,855219c3fffffff,"POLYGON ((44.21398001712933 16.33783815017229, 44.19478965757266 16.25115347508597, 44.260118958653244 16.197188284000976, 44.344580394286986 16.2298088612781, 44.363854418819216 16.31639131075974, 44.29858352192187 16.37045540986383, 44.21398001712933 16.33783815017229))",0.0,18003.858774662443
198,855219c7fffffff,"POLYGON ((44.363854418819216 16.31639131075974, 44.344580394286986 16.2298088612781, 44.409707757380616 16.175862874534115, 44.49405029524064 16.2084005766043, 44.513407319695546 16.294880403707275, 44.44833898545504 16.348925151202597, 44.363854418819216 16.31639131075974))",3.0,1378.7719219151538
199,855219cbfffffff,"POLYGON ((44.11021016343557 16.218449756873575, 44.091101887728506 16.1317782106228, 44.15648901232135 16.07791217992688, 44.24092676767287 16.110618537385008, 44.260118958653244 16.197188284000976, 44.19478965757266 16.25115347508597, 44.11021016343557 16.218449756873575))",0.0,15193.061788299186
200,855219cffffffff,"POLYGON ((44.260118958653244 16.197188284000976, 44.24092676767287 16.110618537385008, 44.30611258132362 16.056771565949244, 44.39043231388078 16.08939532690244, 44.409707757380616 16.175862874534115, 44.344580394286986 16.2298088612781, 44.260118958653244 16.197188284000976))",0.0,17983.222042356985
201,855219d3fffffff,"POLYGON ((44.16769512707435 16.478719770920282, 44.1485067315133 16.391920932534983, 44.21398001712933 16.33783815017229, 44.29858352192187 16.37045540986383, 44.31785599725678 16.457152000078725, 44.25244106790372 16.511333580287555, 44.16769512707435 16.478719770920282))",0.0,22836.205440409525
202,855219d7fffffff,"POLYGON ((44.31785599725678 16.457152000078725, 44.29858352192187 16.37045540986383, 44.363854418819216 16.31639131075974, 44.44833898545504 16.348925151202597, 44.46769487292378 16.43551909320858, 44.40248296141342 16.48968184327973, 44.31785599725678 16.457152000078725))",0.0,11078.2841599516
203,855219dbfffffff,"POLYGON ((44.063785134401535 16.359219984600855, 44.0446791051363 16.27243348653671, 44.11021016343557 16.218449756873575, 44.19478965757266 16.25115347508597, 44.21398001712933 16.33783815017229, 44.1485067315133 16.391920932534983, 44.063785134401535 16.359219984600855))",0.0,19634.95328696551
204,85521a03fffffff,"POLYGON ((42.78329177770344 15.460118516071663, 42.765105901447384 15.37318217099121, 42.83166656436435 15.31995098981708, 42.91636213781856 15.353554882769396, 42.934636193372505 15.440394224789413, 42.868126670121434 15.49372669109679, 42.78329177770344 15.460118516071663))",0.0,12468.20946708141
205,85521a07fffffff,"POLYGON ((42.934636193372505 15.440394224789413, 42.91636213781856 15.353554882769396, 42.98272694414929 15.300339208599816, 43.06731417162434 15.333861722570362, 43.08567576102596 15.420603621758715, 43.01936276311949 15.473920462763546, 42.934636193372505 15.440394224789413))",7.0,2253.6588080931083
206,85521a0bfffffff,"POLYGON ((42.68030289839972 15.339496683277558, 42.66219968667069 15.252584977536637, 42.72881090567707 15.199455286815626, 42.81347495357049 15.233135826562183, 42.83166656436435 15.31995098981708, 42.765105901447384 15.37318217099121, 42.68030289839972 15.339496683277558))",0.0,8723.16628508466
207,85521a0ffffffff,"POLYGON ((42.83166656436435 15.31995098981708, 42.81347495357049 15.233135826562183, 42.87989098668038 15.180021526873581, 42.96444757713128 15.213621029916002, 42.98272694414929 15.300339208599816, 42.91636213781856 15.353554882769396, 42.83166656436435 15.31995098981708))",5.0,3954.4430046720795
208,85521a13fffffff,"POLYGON ((42.73476599163348 15.600522729981162, 42.71658600036042 15.513465946339126, 42.78329177770344 15.460118516071663, 42.868126670121434 15.49372669109679, 42.88639526607134 15.580686457224303, 42.819740539495456 15.634135080248384, 42.73476599163348 15.600522729981162))",1.0,10170.741838458971
209,85521a17fffffff,"POLYGON ((42.88639526607134 15.580686457224303, 42.868126670121434 15.49372669109679, 42.934636193372505 15.440394224789413, 43.01936276311949 15.473920462763546, 43.03771931599434 15.560782768136313, 42.97126151683971 15.614216309468377, 42.88639526607134 15.580686457224303))",0.0,11546.949168861911
210,85521a1bfffffff,"POLYGON ((42.63164370849045 15.479775615592605, 42.61354665664809 15.392742713017963, 42.68030289839972 15.339496683277558, 42.765105901447384 15.37318217099121, 42.78329177770344 15.460118516071663, 42.71658600036042 15.513465946339126, 42.63164370849045 15.479775615592605))",0.0,13810.875870624537
211,85521a23fffffff,"POLYGON ((43.13348285462373 15.28066221037945, 43.11511637453445 15.194041452582233, 43.18114122713642 15.14095988776516, 43.26548018452508 15.174397958339606, 43.28393313428401 15.260920864694569, 43.21796083041762 15.314103563439668, 43.13348285462373 15.28066221037945))",8.0,2478.4834970985307
212,85521a27fffffff,"POLYGON ((43.28393313428401 15.260920864694569, 43.26548018452508 15.174397958339606, 43.331309064317345 15.121333730383558, 43.41553786734846 15.154691409667919, 43.43407664318984 15.241116039774415, 43.36830096337867 15.294281277155463, 43.28393313428401 15.260920864694569))",0.0,11543.528782835441
213,85521a2bfffffff,"POLYGON ((43.03066815112892 15.160522773351401, 43.01238361950821 15.073926488281888, 43.07846044394715 15.020946264859576, 43.16277000093274 15.054460997638293, 43.18114122713642 15.14095988776516, 43.11511637453445 15.194041452582233, 43.03066815112892 15.160522773351401))",2.0,5864.133976885807
214,85521a2ffffffff,"POLYGON ((43.18114122713642 15.14095988776516, 43.16277000093274 15.054460997638293, 43.22865150582013 15.00149798885276, 43.312851784618296 15.034932662338921, 43.331309064317345 15.121333730383558, 43.26548018452508 15.174397958339606, 43.18114122713642 15.14095988776516))",8.0,5294.055160399801
215,85521a33fffffff,"POLYGON ((43.08567576102596 15.420603621758715, 43.06731417162434 15.333861722570362, 43.13348285462373 15.28066221037945, 43.21796083041762 15.314103563439668, 43.23640930794653 15.400747585810764, 43.170293095619314 15.454048143673953, 43.08567576102596 15.420603621758715))",9.0,1589.379907657927
216,85521a37fffffff,"POLYGON ((43.23640930794653 15.400747585810764, 43.21796083041762 15.314103563439668, 43.28393313428401 15.260920864694569, 43.36830096337867 15.294281277155463, 43.38683568310793 15.380826994499085, 43.32091650564074 15.434110614927777, 43.23640930794653 15.400747585810764))",4.0,2268.08753661009
217,85521a3bfffffff,"POLYGON ((42.98272694414929 15.300339208599816, 42.96444757713128 15.213621029916002, 43.03066815112892 15.160522773351401, 43.11511637453445 15.194041452582233, 43.13348285462373 15.28066221037945, 43.06731417162434 15.333861722570362, 42.98272694414929 15.300339208599816))",6.0,3107.511452471027
218,85521a47fffffff,"POLYGON ((42.57742910156767 15.21882319050807, 42.5594084976306 15.131937340835545, 42.626069690024934 15.078909341093068, 42.710701685511985 15.112665516224757, 42.72881090567707 15.199455286815626, 42.66219968667069 15.252584977536637, 42.57742910156767 15.21882319050807))",0.0,16883.536381075588
219,85521a57fffffff,"POLYGON ((42.52863715107479 15.358975417108063, 42.5106229808747 15.271967616744789, 42.57742910156767 15.21882319050807, 42.66219968667069 15.252584977536637, 42.68030289839972 15.339496683277558, 42.61354665664809 15.392742713017963, 42.52863715107479 15.358975417108063))",2.0,3431.1408645514143
220,85521a63fffffff,"POLYGON ((42.77716836459399 15.059652793873687, 42.75905328615 14.972985687750654, 42.82537590634902 14.920090553160374, 42.90976304293762 14.953760878259114, 42.92796567662609 15.040331483966865, 42.86169379050271 15.09332827973478, 42.77716836459399 15.059652793873687))",0.0,11042.978915830188
221,85521a67fffffff,"POLYGON ((42.92796567662609 15.040331483966865, 42.90976304293762 14.953760878259114, 42.97589126310099 14.900882198914543, 43.06017089331693 14.934472594730249, 43.07846044394715 15.020946264859576, 43.01238361950821 15.073926488281888, 42.92796567662609 15.040331483966865))",1.0,5998.455131638749
222,85521a6ffffffff,"POLYGON ((42.82537590634902 14.920090553160374, 42.80725511850014 14.833546831823131, 42.873434159082095 14.780769894449868, 42.9576833385042 14.814434950976626, 42.97589126310099 14.900882198914543, 42.90976304293762 14.953760878259114, 42.82537590634902 14.920090553160374))",0.0,9734.384822738592
223,85521a73fffffff,"POLYGON ((42.72881090567707 15.199455286815626, 42.710701685511985 15.112665516224757, 42.77716836459399 15.059652793873687, 42.86169379050271 15.09332827973478, 42.87989098668038 15.180021526873581, 42.81347495357049 15.233135826562183, 42.72881090567707 15.199455286815626))",0.0,16186.762709954557
224,85521a77fffffff,"POLYGON ((42.87989098668038 15.180021526873581, 42.86169379050271 15.09332827973478, 42.92796567662609 15.040331483966865, 43.01238361950821 15.073926488281888, 43.03066815112892 15.160522773351401, 42.96444757713128 15.213621029916002, 42.87989098668038 15.180021526873581))",0.0,11249.53615430462
225,85521a83fffffff,"POLYGON ((42.78946033544125 15.861977017520624, 42.77120310828569 15.774778656650325, 42.83800352641242 15.721214522307136, 42.923009797492746 15.754747880116541, 42.94135583468203 15.841848756542403, 42.874606966659044 15.895513773246238, 42.78946033544125 15.861977017520624))",0.0,18816.989285892447
226,85521a87fffffff,"POLYGON ((42.94135583468203 15.841848756542403, 42.923009797492746 15.754747880116541, 42.989612886072685 15.701198276894038, 43.0745099617377 15.734648799646921, 43.09294415625602 15.821651747272684, 43.026393293749855 15.875302113354403, 42.94135583468203 15.841848756542403))",1.0,7620.878962080738
227,85521a8bfffffff,"POLYGON ((42.68608856798597 15.741162236938969, 42.667914613442875 15.653985766969468, 42.73476599163348 15.600522729981162, 42.819740539495456 15.634135080248384, 42.83800352641242 15.721214522307136, 42.77120310828569 15.774778656650325, 42.68608856798597 15.741162236938969))",1.0,6502.349818558232
228,85521a8ffffffff,"POLYGON ((42.83800352641242 15.721214522307136, 42.819740539495456 15.634135080248384, 42.88639526607134 15.580686457224303, 42.97126151683971 15.614216309468377, 42.989612886072685 15.701198276894038, 42.923009797492746 15.754747880116541, 42.83800352641242 15.721214522307136))",0.0,10376.624806341846
229,85521a93fffffff,"POLYGON ((42.74076505106738 16.00297252141174, 42.722513735711736 15.915656007787288, 42.78946033544125 15.861977017520624, 42.874606966659044 15.895513773246238, 42.89294752210578 15.982732796703806, 42.82605238277693 16.036512568486646, 42.74076505106738 16.00297252141174))",0.0,31061.754347378497
230,85521a97fffffff,"POLYGON ((42.89294752210578 15.982732796703806, 42.874606966659044 15.895513773246238, 42.94135583468203 15.841848756542403, 43.026393293749855 15.875302113354403, 43.0448224342458 15.962423198806837, 42.97812570723174 16.016188878097605, 42.89294752210578 15.982732796703806))",0.0,21555.37459174715
231,85521a9bfffffff,"POLYGON ((42.63725886547332 15.882035623370628, 42.61909110071953 15.794740228273174, 42.68608856798597 15.741162236938969, 42.77120310828569 15.774778656650325, 42.78946033544125 15.861977017520624, 42.722513735711736 15.915656007787288, 42.63725886547332 15.882035623370628))",0.0,14537.514371071671
232,85521aa3fffffff,"POLYGON ((43.14091545153232 15.681114398180855, 43.12247635035535 15.59423034627415, 43.18873695737528 15.540812550862931, 43.27338386680546 15.57417808110932, 43.29191004930509 15.660963782437927, 43.225702416429925 15.714482315050498, 43.14091545153232 15.681114398180855))",0.0,16974.89142072583
233,85521aa7fffffff,"POLYGON ((43.29191004930509 15.660963782437927, 43.27338386680546 15.57417808110932, 43.3394470280061 15.520776692304935, 43.42398291477187 15.554060403119147, 43.44259552778759 15.640747324626796, 43.37658599892707 15.694249324871302, 43.29191004930509 15.660963782437927))",1.0,3883.669958772753
234,85521aabfffffff,"POLYGON ((43.03771931599434 15.560782768136313, 43.01936276311949 15.473920462763546, 43.08567576102596 15.420603621758715, 43.170293095619314 15.454048143673953, 43.18873695737528 15.540812550862931, 43.12247635035535 15.59423034627415, 43.03771931599434 15.560782768136313))",7.0,2016.766371719178
235,85521aaffffffff,"POLYGON ((43.18873695737528 15.540812550862931, 43.170293095619314 15.454048143673953, 43.23640930794653 15.400747585810764, 43.32091650564074 15.434110614927777, 43.3394470280061 15.520776692304935, 43.27338386680546 15.57417808110932, 43.18873695737528 15.540812550862931))",4.0,2537.5065133011635
236,85521ab3fffffff,"POLYGON ((43.09294415625602 15.821651747272684, 43.0745099617377 15.734648799646921, 43.14091545153232 15.681114398180855, 43.225702416429925 15.714482315050498, 43.24422411530139 15.801386895372662, 43.17787152094202 15.855021937306898, 43.09294415625602 15.821651747272684))",0.0,18491.785804297473
237,85521ab7fffffff,"POLYGON ((43.24422411530139 15.801386895372662, 43.225702416429925 15.714482315050498, 43.29191004930509 15.660963782437927, 43.37658599892707 15.694249324871302, 43.39519454896925 15.78105510522818, 43.32904047427174 15.834674153068205, 43.24422411530139 15.801386895372662))",0.0,16883.53116292175
238,85521abbfffffff,"POLYGON ((42.989612886072685 15.701198276894038, 42.97126151683971 15.614216309468377, 43.03771931599434 15.560782768136313, 43.12247635035535 15.59423034627415, 43.14091545153232 15.681114398180855, 43.0745099617377 15.734648799646921, 42.989612886072685 15.701198276894038))",0.0,10691.162285170147
239,85521ac7fffffff,"POLYGON ((42.582832698590344 15.620290697114166, 42.564741959389195 15.533137345018293, 42.63164370849045 15.479775615592605, 42.71658600036042 15.513465946339126, 42.73476599163348 15.600522729981162, 42.667914613442875 15.653985766969468, 42.582832698590344 15.620290697114166))",0.0,16575.050040812268
240,85521acbfffffff,"POLYGON ((42.32744149645303 15.518884713975288, 42.30952402712351 15.431660056334923, 42.37667054895581 15.378386318412783, 42.46168561930837 15.412235633556271, 42.479693202020385 15.4993646422549, 42.4125957746375 15.552740002622244, 42.32744149645303 15.518884713975288))",0.0,20944.298569750423
241,85521acffffffff,"POLYGON ((42.479693202020385 15.4993646422549, 42.46168561930837 15.412235633556271, 42.52863715107479 15.358975417108063, 42.61354665664809 15.392742713017963, 42.63164370849045 15.479775615592605, 42.564741959389195 15.533137345018293, 42.479693202020385 15.4993646422549))",1.0,7549.117474364088
242,85521ad3fffffff,"POLYGON ((42.38134674668543 15.780848478478068, 42.363352805479565 15.693479316244856, 42.4305966147938 15.639989468282266, 42.5157849557476 15.67376747688473, 42.53386922823851 15.761040522197032, 42.46667500347109 15.81463169294452, 42.38134674668543 15.780848478478068))",0.0,27765.87462816738
243,85521ad7fffffff,"POLYGON ((42.53386922823851 15.761040522197032, 42.5157849557476 15.67376747688473, 42.582832698590344 15.620290697114166, 42.667914613442875 15.653985766969468, 42.68608856798597 15.741162236938969, 42.61909110071953 15.794740228273174, 42.53386922823851 15.761040522197032))",0.0,10678.739637814744
244,85521b03fffffff,"POLYGON ((43.83626059172604 15.320686642769193, 43.81747102208232 15.234438352183572, 43.8826554680043 15.181329350304798, 43.96657397370689 15.214368246449592, 43.98544720102765 15.300516576692063, 43.920318439035206 15.353725976825151, 43.83626059172604 15.320686642769193))",2.0,4297.537351531842
245,85521b07fffffff,"POLYGON ((43.98544720102765 15.300516576692063, 43.96657397370689 15.214368246449592, 44.03156092335967 15.161279261312284, 44.11536496741584 15.194238350190401, 44.13432120638604 15.280286320579224, 44.0693905636684 15.333475566440079, 43.98544720102765 15.300516576692063))",2.0,8568.656639039476
246,85521b0bfffffff,"POLYGON ((43.73343889638949 15.201319418039985, 43.71473039957628 15.115092591907953, 43.77996996018232 15.062084209506178, 43.8638630763635 15.095202040458185, 43.8826554680043 15.181329350304798, 43.81747102208232 15.234438352183572, 43.73343889638949 15.201319418039985))",7.0,4442.220463660345
247,85521b0ffffffff,"POLYGON ((43.8826554680043 15.181329350304798, 43.8638630763635 15.095202040458185, 43.928905765901206 15.042213539464903, 44.012685280603385 15.075251869677642, 44.03156092335967 15.161279261312284, 43.96657397370689 15.214368246449592, 43.8826554680043 15.181329350304798))",4.0,2240.888366510356
248,85521b13fffffff,"POLYGON ((43.789720519204444 15.460284117243276, 43.77093390596923 15.373915561222201, 43.83626059172604 15.320686642769193, 43.920318439035206 15.353725976825151, 43.93918911877703 15.439994534309866, 43.873918059429144 15.493323762162037, 43.789720519204444 15.460284117243276))",2.0,7257.942203720366
249,85521b17fffffff,"POLYGON ((43.93918911877703 15.439994534309866, 43.920318439035206 15.353725976825151, 43.98544720102765 15.300516576692063, 44.0693905636684 15.333475566440079, 44.08834466144713 15.419643722592141, 44.0232721532303 15.472953295015232, 43.93918911877703 15.439994534309866))",2.0,3424.7843249150105
250,85521b1bfffffff,"POLYGON ((43.68676242210197 15.340795649042494, 43.66805715626495 15.254447803338355, 43.73343889638949 15.201319418039985, 43.81747102208232 15.234438352183572, 43.83626059172604 15.320686642769193, 43.77093390596923 15.373915561222201, 43.68676242210197 15.340795649042494))",0.0,13962.165275096551
251,85521b23fffffff,"POLYGON ((44.18015422927629 15.141170011372154, 44.16119597899648 15.055242934188756, 44.22584434272268 15.00229607317124, 44.3093941593069 15.03517608677868, 44.328434373697654 15.121002458944371, 44.2638429806793 15.174049525646634, 44.18015422927629 15.141170011372154))",2.0,3927.040314480162
252,85521b27fffffff,"POLYGON ((44.328434373697654 15.121002458944371, 44.3093941593069 15.03517608677868, 44.373845089159865 14.982250976809114, 44.45727883028078 15.015052178314386, 44.47640036560784 15.100777460553743, 44.412007012078995 15.153802633158946, 44.328434373697654 15.121002458944371))",3.0,6444.269436398367
253,85521b2bfffffff,"POLYGON ((44.077530901024524 15.022283877059802, 44.05865297378851 14.936378126615375, 44.123357746184105 14.883531694315684, 44.206884209840815 14.916490587877096, 44.22584434272268 15.00229607317124, 44.16119597899648 15.055242934188756, 44.077530901024524 15.022283877059802))",0.0,12375.10286973335
254,85521b2ffffffff,"POLYGON ((44.22584434272268 15.00229607317124, 44.206884209840815 14.916490587877096, 44.27139215624276 14.86366576572481, 44.354803391598516 14.896546144002576, 44.373845089159865 14.982250976809114, 44.3093941593069 15.03517608677868, 44.22584434272268 15.00229607317124))",1.0,4688.803455352138
255,85521b33fffffff,"POLYGON ((44.13432120638604 15.280286320579224, 44.11536496741584 15.194238350190401, 44.18015422927629 15.141170011372154, 44.2638429806793 15.174049525646634, 44.28288158543334 15.259996742371241, 44.21814924695365 15.31316520179088, 44.13432120638604 15.280286320579224))",4.0,2395.11534942386
